0, 80, 0.00000, 0.00000, 0.00000, 0.00000, -3.40988, 0.02872, -0.18974
100, 8080, 0.00077, 0.00575, 4.32723, 6.08853, -3.45709, 0.00082, -0.08297
200, 16080, 0.00058, 0.00536, 4.65766, 7.57550, -3.46466, 40.56337, 10.23738
300, 24080, -0.00210, 0.00000, 1.08814, 0.57923, -3.46356, 0.00042, -0.05955
400, 32080, 0.00057, 0.00533, 3.04533, 4.73816, -3.46339, 0.00065, -0.07639
500, 40080, 0.00080, 0.00580, 2.98171, 3.21856, -3.46086, 0.00186, -0.04299
600, 48080, 0.00042, 0.00503, 2.77739, 2.90427, -3.46288, 0.00047, -0.05765
700, 56080, -0.00210, 0.00000, 1.38054, 0.61367, -3.45685, 0.02121, -0.29649
800, 64080, 0.00352, 0.00650, 2.97229, 2.15864, -3.46232, 0.01015, 0.03189
900, 72080, -0.00210, 0.00000, 1.37785, 0.65903, -3.46254, 0.00256, -0.12313
1000, 80080, 0.00341, 0.00636, 2.80653, 1.78114, -3.46312, 0.00212, 0.02490
1100, 88080, 0.00348, 0.00645, 2.05005, 1.72057, -3.46308, 0.00877, 0.01607
1200, 96080, 0.00611, 0.00549, 3.54032, 1.66803, -3.46209, 1.13717, 1.44296
1300, 104080, 0.00043, 0.00507, 2.03988, 1.82216, -3.46278, 0.00199, 0.02036
1400, 112080, 0.00059, 0.00539, 1.44139, 1.99554, -3.46208, 0.00275, 0.07975
1500, 120080, -0.00210, 0.00000, 0.79234, 0.55116, -3.46221, 0.00282, 0.01212
1600, 128080, 0.00378, 0.00680, 3.00083, 1.59242, -3.45773, 3.81801, 3.62800
1700, 136080, 0.00077, 0.00574, 2.00717, 2.14195, -3.45849, 1.27201, 1.05841
1800, 144080, 0.00371, 0.00671, 2.99605, 1.99691, -3.46267, 0.00153, 0.00045
1900, 152080, 0.00382, 0.00683, 2.90683, 2.25416, -3.45620, 0.00338, -0.14739
2000, 160080, 0.00361, 0.00661, 3.03674, 2.69652, -3.46025, 0.00255, -0.08233
2100, 168080, 0.00046, 0.00512, 2.58431, 2.63583, -3.46066, 0.01024, 0.13004
2200, 176080, 0.00066, 0.00551, 2.04696, 2.44660, -3.46020, 0.00076, -0.02313
2300, 184080, -0.00210, 0.00000, 0.72724, 0.82330, -3.45956, 0.00675, 0.17285
2400, 192080, 0.00358, 0.00657, 3.78265, 2.93139, -3.45546, 0.00792, -0.17085
2500, 200080, 0.00064, 0.00548, 2.94717, 2.46512, -3.46166, 0.00200, -0.01190
2600, 208080, 0.00348, 0.00646, 3.59151, 2.41791, -3.46044, 0.00102, -0.04638
2700, 216080, -0.00210, 0.00000, 1.15741, 0.39764, -3.46089, 0.01736, 0.24321
2800, 224080, 0.00058, 0.00537, 2.27213, 1.23295, -3.44090, 0.03068, -0.27813
2900, 232080, -0.00210, 0.00000, 1.30865, 0.49432, -3.45973, 0.00149, 0.00441
3000, 240080, 0.00081, 0.00581, 2.16935, 1.25881, -3.45285, 0.00407, -0.00350
3100, 248080, -0.00210, 0.00000, 1.21270, 0.71274, -3.44474, 0.00591, 0.03271
3200, 256080, 0.00317, 0.00609, 2.83259, 2.04934, -3.44991, 0.00101, -0.00633
3300, 264080, 0.00332, 0.00630, 2.92664, 2.02443, -3.44938, 0.02028, 0.00221
3400, 272080, 0.00043, 0.00506, 2.17915, 1.84152, -3.43712, 0.02581, 0.17807
3500, 280080, 0.00382, 0.00684, 2.67518, 1.08023, -3.44635, 0.00257, -0.13853
3600, 288080, 0.00350, 0.00647, 2.32102, 1.06022, -3.42023, 0.48248, 0.82441
3700, 296080, 0.00369, 0.00669, 2.03225, 1.13486, -3.42218, 0.19691, 0.10537
3800, 304080, 0.00946, 0.00032, 2.93615, 0.43003, -3.27887, 0.01886, -0.09980
3900, 312080, 0.00631, 0.00565, 2.46080, 0.89655, -3.40125, 0.01125, 0.05161
4000, 320080, 0.00091, 0.00603, 1.64520, 0.31324, -3.43676, 0.00361, -0.14156
4100, 328080, 0.00330, 0.00624, 1.83225, 1.52599, -3.41592, 0.00458, 0.10057
4200, 336080, 0.00077, 0.00574, 1.55316, 1.01139, -3.43182, 0.00486, -0.16791
4300, 344080, 0.00352, 0.00649, 1.88597, 1.22499, -3.41342, 0.40138, 1.36976
4400, 352080, 0.00364, 0.00663, 1.99900, 1.10469, -3.43281, 0.55989, 0.95513
4500, 360080, 0.00076, 0.00572, 1.62125, 1.16756, -3.38994, 0.00180, -0.04258
4600, 368080, 0.00076, 0.00573, 2.03699, 0.83704, -3.39488, 0.00777, -0.09946
4700, 376080, 0.00366, 0.00665, 1.92874, 1.03702, -3.38119, 0.07050, -0.07174
4800, 384080, 0.00344, 0.00641, 2.29805, 1.03515, -3.31158, 0.24229, 0.61036
4900, 392080, 0.00087, 0.00594, 1.39895, 0.69366, -3.41194, 0.00124, -0.06888
5000, 400080, 0.00620, 0.00554, 2.43229, 1.15587, -3.40323, 0.00218, -0.09454
5100, 408080, 0.00351, 0.00649, 2.28673, 0.89992, -3.41394, 0.00121, -0.04546
5200, 416080, 0.00643, 0.00573, 2.43669, 0.68979, -3.35253, 0.00452, -0.15574
5300, 424080, 0.00367, 0.00667, 2.23257, 0.46760, -3.37010, 0.00303, -0.10916
5400, 432080, 0.00620, 0.00554, 2.32895, 0.60895, -3.39670, 0.01464, 0.23543
5500, 440080, 0.00615, 0.00551, 2.53208, 0.76448, -3.35404, 0.01663, 0.05119
